comment,toxic
"Высокодуховная нация, хуле.
",1.0
"Спасибо, оставайтесь в этой толпе сами. Тупых минусаторов без собсвенного мнения.
",1.0
"Пошло всё нах! Кругом бардак и коррупция.
",0.0
"У негров пятки не черные.
",1.0
"Автор повторяет слово русские до хрена раз...
",1.0
"не был влиятельным Да он и сейчас не особо, разве что обзавелся : хомячками с пятачками
",1.0
"Спасибо. Наконец-то я расхотел заводить кота и кого-либо вообще.
",0.0
"ТС, сволоч! 5 раз пересмотрел, думал какая хуйня случится.
",1.0
"На hh вакансий нет, а на их сайте зарплата к вакансиям не указана вообще. И это, оказывается, не школа, а какой-то ГБПОУ ОКГ. Что касается номера... Родственница рассказывала, что однажды она на уроке рассказала, в частности, про выводковую сумку кенгуру, а потом какая-то мамашка прибежала к директору, крича, что Мариванна растляет детей, показывая им ПОЛОВЫЕ ОРГАНЫ КЕНГУРУ, о как. И родственнице влетело, т к родители главные, а учителя обслуживающий персонал. Так что они будут не очень рады деанонимизации. Хотя по отчётам у них, наверное, неплохие средние цифры.
",0.0
"засрал Дюнкерк , НИ ПРА ДИДОВ, ДАЙТИ ДИДОВ ? ну кажити иму шо нолан - гений! А если ему не нравится манера съёмки, так он просто ВАТНИК И ПИДАРАХА! если вам не нравятся 28 панфиловцев я щас просто сделаю вид, что не знаю о том, что ему этот фильм самому не понравился
",1.0
"Средняя зарплата - все равно что средняя температура по больнице. К тому же хз, насколько правильно её считают. Вполне вероятно, что по схеме 146
",0.0
"оптом продаю по 100 руб, обычно с оплатой сразу. себестоимость сильно скачет в зависимости от количества брака. мой принтер, например, тот еще любитель пару листов зажевать или усрать черными кляксами
",0.0
"Вот бы мне няшная тяночка или трапик в рот насрали...
",1.0
"Есть видео где его баба сосет?
",1.0
"Если человек не хочет воспользоваться услугой доставки по городу и сам забирает со склада, то почему он должен оплачивать неоказанную услугу?
",0.0
"Ох щас кто-то за оскорбление чувств отгребёт!!
",1.0
"Я думал рельсовому автобусу уже давно придумали название - электричка
",0.0
"Учебная тревога. М.б. детей попросить накинуть тёплое, знали же учителя, что будет тревога. Да и соседнее здание школы, не более 100м от нашей, идти минуту... но
",0.0
"Просто с одной из продавщиц замутил док Эмметт Браун когда был в 2015
",0.0
"ХУЯ КАКОЙ У ВАС ТУТ ТРЕДИК! МИМОПРОХОДИЛ, СМОТРЮ ЕБАНА ДА ЭТО Ж ПЯКИН ВАЛЕРА Вчера чет внезапоно посмотрел Пякина про историю с Золотовым, знатно проиграл как Валера бомбил что Золотов опустился на уровень Нагвального Алексея, мол Дженерал а опустился до говна. Золотов фейковый Дженерал я в педивикии сегодня читал, одни понты а не Дженерал. Нахуй Пякин защищает этого ворюгу? Он че ебобо? И значет вся его анал литика и инфо блоки это о я ебу какой бред? Я все правильно понял? А то у меня есть друзья дрочащие на коб и пякина.
",1.0
"Причем это на двух одинаковых телефонах. Используют разные люди
",0.0
"Мимо меня проходил лет 25 назад, но я помню)
",0.0
"Заебись, теперь он стал мемом в вкшечке. Хорошие у вас кумиры однако.
",1.0
"Вместо того, чтобы гнать мюслей и пидоров нахуй, русня, как обычно не видя никаких иных вариантов, стала копротивляется за муслимского барина. Похоже кое у кого любовь к бутылке в крови.
",1.0
"Перенесём столицу обратно в Киев?
",1.0
"А в какое ещё место можно было зарядить зажигательный снаряд 121мм в 14 веке?
",0.0
"В Украине решение ЕСПЧ в отношении другого государства является источником права?
",0.0
"УУУУУ, сюка. Пенис дурачек всем постам дизлайки поставил. Хадость такая.
",1.0
"Нахуй бы ментам именно российское железо? Они с гостайной работают? Управляют какими-то критичными процессами? Короче, лябурахи, в очередной раз, хайпанули немножечко.
",1.0
"Хорошее блюдо, но масло достаточно много уходит, поэтому иногда можно готовить но не часто
",0.0
"Бескрымодебилу неприятно.
",1.0
"Там ведь ещё год два назад пенсионеров стали сокращать в огромных количествах.
",0.0
"На первой стадии онкологического заболевания. Оно развивается довольно медленно.
",0.0
"в два раза больше чем у хохлов
",1.0
"Хмм.. муляж камеры и сигнала, а реально таймер с датчиком приближения?
",0.0
"вполне себе правильный е6у4ий шакал
",1.0
"Они все не пилят по началу, тут от тебя не зависит ни чего, ты как раз советы даёшь как этот мужик в посте, ты в этой теме не хера не понимаешь
",1.0
"КМС активатор, или купить ключ на ибей за 5 , но у меня стоит лицензия которая шла в комплекте с ноутом.
",0.0
"Увы, уже да. Возможно из-за наплыва на сайт, возможно что эту квоту уже раскупили. Рекомендую через неделю зайти и проверить - могут снова снизить
",0.0
"У меня такая же фигня, куда не устроюсь - фирма банкрот(
",0.0
"Знаю,300 дней после развода автоматом могут записать
",0.0
"То, что ты показал не видел ни разу ни в Кастораме ни в Леруа ни тем более в местных строительных отделах. Однако ситуация из жизни: нужно состыковать 2 ламината, везде продаются пороги с открытыми саморезами, с потайными (на обратной стороне порога паз на всю длину под шляпки саморезов) или нет вовсе или 10 цветов. Ок, берем 1 из этих 10, ставим, но комплектные саморезы слишком тонкие и или короткие, потому что подложка 2-3 мм ламинат 7-12 мм 10-15 мм. В результате через 3 года порожек болтается или по центру или с краю или и там и там, а саморезы по-крупнее в паз не влезут. Вливать под порог тонну клея так себе вариант.
",0.0
"Насколько знаю, гемоглобин координирует кислород для переноса именно в ткани. То есть гемоглобин нужен для прохождения клеточной мембраны. А для того что-бы растворить в крови какой-либо газ, никакой дополнительный гемоглобин не нужен.
",0.0
"Барином хорошо было быть, в 17-ом веке. Учи себе французкий. Читай книжки. Не жизнь - малина.)",0.0
"У меня не было такой жестки при походе на толкан. Да и сейчас, не особо болит. Скоро можно уже будет садиться
",0.0
"Я укорочу свою простыню текста. ...Когда срешь на ПОраше как пидорашка якобы случайно серешь себе в шаровары. Скрипт пидорашек тригиртся и скрывает тебя как пидорашку. По этому ты меняешь обсранные шаровары и все равно срешь не снимая.
",1.0
"У нас все поголовно ездят с превышением, а превышение даже на 1 км ч в случае подобного ДТП автоматически делает водителя виновным. Соскочить на отсутствие технической возможности избежать ДТП будет практически не реально, следовательно водитель виновен. Это как с ремнями безопасности: если ты по своей вине попал в ДТП, а не пристегнутый пассажир получил тяжкие травмы, то ты сядешь и будешь оплачивать лечение и т.п.
",0.0
"Вот когда коты начнут платить и зарабатывать, тогда отзывы и будут писать
",0.0
"У меня новый дом и домофон ещё не проведён, но уже включён. Пароль отключили. Пишу в доставке, что домофон не работает, всё нормально. Наверное, просто дом в 27 этажей, постоянно кто-то ходит.
",0.0
"Новое фото в вк Болею, 37.7. Завтра должна снимать заключительную часть нового видео, сижу дома лечусь, попробую поправиться.
",0.0
"да там много забавного в Татарстане Вместе с тем активист Бессрочки из Набережных Челнов Василь Тарасов в беседе с Idel.Реалии выразил сомнение, что акцию провели именно активисты Бессрочного протеста . Я не знаю, кто именно провел эту акцию. Сомневаюсь, что ее провели знакомые мне активисты, сказал Тарасов.
",0.0
"Шевцов,гений!Как он разбирается во всех областях науки?Как он делает так чтобы малолетние дебилы ему поклонялись?Просто он говорит школьникам что они хотят услышать.Вот вам и про то что СНГ страны загнивают,пора валить срочна РРРЯЯЯ
",1.0
"Колеса нагреваются при долгом движении без остановок, там стоят датчики которые отслеживают их температуру и по регламенту нужно остановиться остыть, колодки при тормозе тоже играют свою роль
",0.0
"А либерогноем дырявым и сисянодыркой ебаной хорошо?
",1.0
"это потому что спрос превышает предложение. Вот односторонней связи достаточно уже, поэтому и не столь дорого.
",0.0
"У Пердогана бомбануло
",1.0
"Дурачок даже сам себе лайкнул как дебил.
",1.0
"Стринги надень, дура!
",1.0
"Автор больной ублюдок радеющий за скрепы и духовность.
",1.0
"И потом твоя попа сожрёт твои трусы... См. 4фото
",1.0
"Какая-то ерунда... Обратиться в поддержку?
",0.0
